Car Make/Model,Year,Daily Rental Price ($),Fuel Type,Transmission,Availability,Location,Image
Ford Focus,2014,193,Petrol,Manual,Available,Seattle,https://via.placeholder.com/300x200.png?text=Ford+Focus
Kia Optima,2012,158,Diesel,Automatic,Available,Miami,https://via.placeholder.com/300x200.png?text=Kia+Optima
Dodge Charger,2021,87,Petrol,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Honda Civic,2020,105,Hybrid,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Honda+Civic
Audi A4,2019,85,Diesel,Manual,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Audi+A4
Tesla Model 3,2010,128,Petrol,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Chevrolet Camaro,2017,126,Petrol,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Chevrolet Camaro,2015,35,Electric,Manual,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Dodge Charger,2018,52,Electric,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Chevrolet Malibu,2011,141,Electric,Automatic,Available,Miami,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Volkswagen Jetta,2015,175,Hybrid,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Toyota Corolla,2021,131,Diesel,Automatic,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Mazda 3,2010,32,Diesel,Automatic,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Mazda+3
Honda Civic,2019,178,Hybrid,Manual,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Honda+Civic
Volkswagen Jetta,2012,50,Hybrid,Automatic,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Mercedes-Benz C-Class,2020,165,Petrol,Automatic,Not Available,New York,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
Chevrolet Camaro,2022,71,Hybrid,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Honda Civic,2020,51,Electric,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Honda+Civic
BMW 3 Series,2021,32,Diesel,Manual,Available,New York,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Kia Optima,2023,45,Petrol,Manual,Available,Atlanta,https://via.placeholder.com/300x200.png?text=Kia+Optima
Tesla Model 3,2017,120,Electric,Manual,Available,Miami,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Volkswagen Jetta,2014,106,Electric,Manual,Available,New York,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Ford Mustang,2014,72,Electric,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Ford+Mustang
BMW 3 Series,2023,49,Diesel,Automatic,Available,Chicago,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Mazda 3,2019,52,Electric,Manual,Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Mazda+3
Chevrolet Malibu,2010,165,Electric,Manual,Available,Seattle,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Kia Optima,2015,119,Petrol,Automatic,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Kia+Optima
Tesla Model 3,2011,120,Petrol,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Chevrolet Camaro,2021,92,Petrol,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Chevrolet Camaro,2016,47,Electric,Automatic,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Ford Mustang,2023,146,Hybrid,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Ford+Mustang
Nissan Altima,2018,194,Hybrid,Automatic,Available,Miami,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Subaru Impreza,2012,124,Electric,Automatic,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Subaru+Impreza
Mazda 3,2018,65,Hybrid,Automatic,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Mazda+3
Chevrolet Malibu,2017,138,Petrol,Automatic,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Lexus ES,2021,177,Electric,Manual,Available,Houston,https://via.placeholder.com/300x200.png?text=Lexus+ES
Honda Civic,2011,44,Petrol,Automatic,Not Available,Miami,https://via.placeholder.com/300x200.png?text=Honda+Civic
Dodge Charger,2013,151,Hybrid,Automatic,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Jeep Wrangler,2015,193,Petrol,Automatic,Not Available,Miami,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
BMW 3 Series,2021,51,Hybrid,Manual,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=BMW+3+Series
BMW 3 Series,2012,67,Diesel,Manual,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Chevrolet Camaro,2021,122,Diesel,Manual,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Jeep Wrangler,2022,162,Electric,Automatic,Available,New York,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
Chevrolet Malibu,2020,46,Diesel,Automatic,Available,New York,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Dodge Charger,2022,90,Petrol,Automatic,Available,Chicago,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Audi A4,2022,135,Hybrid,Manual,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Audi+A4
Subaru Impreza,2018,72,Diesel,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Subaru+Impreza
Mazda 3,2012,110,Hybrid,Manual,Available,New York,https://via.placeholder.com/300x200.png?text=Mazda+3
Mazda 3,2014,123,Diesel,Automatic,Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Mazda+3
Ford Focus,2010,76,Electric,Automatic,Not Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Ford+Focus
Chevrolet Camaro,2013,68,Hybrid,Manual,Not Available,Miami,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Mazda 3,2018,42,Diesel,Automatic,Not Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Mazda+3
Honda Civic,2011,178,Petrol,Manual,Not Available,Chicago,https://via.placeholder.com/300x200.png?text=Honda+Civic
Hyundai Elantra,2014,145,Diesel,Manual,Not Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Hyundai+Elantra
Lexus ES,2022,199,Diesel,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Lexus+ES
Dodge Charger,2023,94,Petrol,Automatic,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Kia Optima,2019,178,Hybrid,Manual,Available,Houston,https://via.placeholder.com/300x200.png?text=Kia+Optima
Toyota Corolla,2022,106,Petrol,Automatic,Available,Chicago,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Chevrolet Camaro,2014,79,Electric,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Toyota Corolla,2020,69,Hybrid,Manual,Available,Boston,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Porsche 911,2012,64,Electric,Manual,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Porsche+911
BMW 3 Series,2013,82,Petrol,Automatic,Not Available,Miami,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Mercedes-Benz C-Class,2017,79,Hybrid,Automatic,Not Available,Chicago,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
BMW 3 Series,2013,169,Electric,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Porsche 911,2018,147,Hybrid,Automatic,Available,Houston,https://via.placeholder.com/300x200.png?text=Porsche+911
Dodge Charger,2020,81,Petrol,Automatic,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Toyota Corolla,2011,42,Petrol,Automatic,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Volkswagen Jetta,2013,75,Petrol,Manual,Not Available,Miami,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Jeep Wrangler,2014,139,Petrol,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
Mazda 3,2013,195,Diesel,Automatic,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Mazda+3
Ford Mustang,2015,71,Electric,Automatic,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Ford+Mustang
Honda Civic,2018,52,Petrol,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Honda+Civic
Toyota Corolla,2016,64,Diesel,Manual,Available,Houston,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Tesla Model 3,2020,30,Hybrid,Manual,Available,New York,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Mazda 3,2021,115,Diesel,Automatic,Not Available,Chicago,https://via.placeholder.com/300x200.png?text=Mazda+3
Audi A4,2019,183,Hybrid,Automatic,Available,New York,https://via.placeholder.com/300x200.png?text=Audi+A4
Jeep Wrangler,2022,126,Hybrid,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
Hyundai Elantra,2014,31,Petrol,Automatic,Not Available,New York,https://via.placeholder.com/300x200.png?text=Hyundai+Elantra
Dodge Charger,2012,112,Diesel,Automatic,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Tesla Model 3,2014,87,Hybrid,Manual,Available,Atlanta,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Lexus ES,2011,175,Hybrid,Automatic,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Lexus+ES
Jeep Wrangler,2015,39,Diesel,Manual,Available,Boston,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
Nissan Altima,2016,141,Electric,Automatic,Available,Chicago,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Lexus ES,2018,149,Diesel,Automatic,Available,Houston,https://via.placeholder.com/300x200.png?text=Lexus+ES
Dodge Charger,2011,31,Electric,Manual,Available,Miami,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Dodge Charger,2020,40,Electric,Manual,Not Available,New York,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Lexus ES,2014,45,Diesel,Automatic,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Lexus+ES
Honda Civic,2022,70,Electric,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Honda+Civic
Mercedes-Benz C-Class,2023,177,Hybrid,Automatic,Available,Atlanta,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
Mazda 3,2020,42,Petrol,Manual,Available,Boston,https://via.placeholder.com/300x200.png?text=Mazda+3
Lexus ES,2022,45,Hybrid,Automatic,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Lexus+ES
Kia Optima,2012,177,Diesel,Manual,Not Available,Atlanta,https://via.placeholder.com/300x200.png?text=Kia+Optima
Hyundai Elantra,2022,51,Diesel,Manual,Not Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Hyundai+Elantra
Porsche 911,2011,177,Petrol,Manual,Not Available,Chicago,https://via.placeholder.com/300x200.png?text=Porsche+911
Honda Civic,2012,68,Hybrid,Automatic,Not Available,New York,https://via.placeholder.com/300x200.png?text=Honda+Civic
Toyota Corolla,2021,65,Electric,Automatic,Available,Miami,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Mazda 3,2014,189,Electric,Manual,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Mazda+3
Chevrolet Malibu,2021,165,Petrol,Manual,Not Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Honda Civic,2015,33,Hybrid,Manual,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Honda+Civic
Kia Optima,2011,144,Petrol,Manual,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Kia+Optima
Audi A4,2011,194,Electric,Manual,Not Available,Atlanta,https://via.placeholder.com/300x200.png?text=Audi+A4
Honda Civic,2011,83,Hybrid,Automatic,Not Available,New York,https://via.placeholder.com/300x200.png?text=Honda+Civic
Hyundai Elantra,2010,73,Electric,Manual,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Hyundai+Elantra
Nissan Altima,2019,176,Hybrid,Manual,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Chevrolet Camaro,2018,191,Petrol,Automatic,Not Available,New York,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Audi A4,2011,88,Petrol,Automatic,Not Available,New York,https://via.placeholder.com/300x200.png?text=Audi+A4
Ford Focus,2023,83,Petrol,Automatic,Available,Seattle,https://via.placeholder.com/300x200.png?text=Ford+Focus
Honda Civic,2016,152,Petrol,Manual,Available,Miami,https://via.placeholder.com/300x200.png?text=Honda+Civic
Audi A4,2019,80,Electric,Automatic,Not Available,Miami,https://via.placeholder.com/300x200.png?text=Audi+A4
Tesla Model 3,2010,126,Hybrid,Automatic,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Chevrolet Camaro,2016,54,Petrol,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Dodge Charger,2023,182,Electric,Automatic,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Volkswagen Jetta,2010,178,Electric,Automatic,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Chevrolet Malibu,2018,106,Diesel,Automatic,Not Available,Miami,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Chevrolet Camaro,2012,162,Hybrid,Manual,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Chevrolet Malibu,2011,131,Diesel,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Nissan Altima,2020,185,Electric,Manual,Available,Seattle,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Subaru Impreza,2014,183,Petrol,Manual,Available,Boston,https://via.placeholder.com/300x200.png?text=Subaru+Impreza
Mazda 3,2011,44,Petrol,Manual,Not Available,New York,https://via.placeholder.com/300x200.png?text=Mazda+3
Ford Mustang,2020,192,Hybrid,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Ford+Mustang
Porsche 911,2016,77,Diesel,Automatic,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Porsche+911
Porsche 911,2016,129,Petrol,Automatic,Not Available,Chicago,https://via.placeholder.com/300x200.png?text=Porsche+911
Kia Optima,2018,33,Electric,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Kia+Optima
BMW 3 Series,2019,51,Diesel,Manual,Not Available,Los Angeles,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Dodge Charger,2021,120,Hybrid,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Volkswagen Jetta,2018,131,Diesel,Automatic,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Mercedes-Benz C-Class,2011,137,Petrol,Automatic,Not Available,Miami,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
Lexus ES,2021,142,Diesel,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Lexus+ES
Lexus ES,2020,87,Petrol,Manual,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Lexus+ES
Tesla Model 3,2013,174,Diesel,Automatic,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Mercedes-Benz C-Class,2023,52,Electric,Manual,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
Chevrolet Malibu,2017,78,Electric,Automatic,Available,Houston,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Chevrolet Camaro,2022,97,Petrol,Manual,Not Available,New York,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Chevrolet Malibu,2018,130,Diesel,Automatic,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Mercedes-Benz C-Class,2019,59,Hybrid,Manual,Available,Houston,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
Audi A4,2020,143,Diesel,Manual,Not Available,Chicago,https://via.placeholder.com/300x200.png?text=Audi+A4
BMW 3 Series,2014,49,Hybrid,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Toyota Corolla,2021,33,Diesel,Manual,Available,Houston,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Tesla Model 3,2016,127,Diesel,Manual,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Ford Mustang,2017,136,Hybrid,Automatic,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Ford+Mustang
Subaru Impreza,2015,137,Diesel,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Subaru+Impreza
Toyota Corolla,2016,100,Diesel,Automatic,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Jeep Wrangler,2015,61,Petrol,Manual,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
Jeep Wrangler,2010,119,Diesel,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
BMW 3 Series,2023,124,Diesel,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Chevrolet Malibu,2015,122,Hybrid,Automatic,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Mercedes-Benz C-Class,2023,104,Electric,Automatic,Not Available,New York,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
Toyota Corolla,2023,36,Electric,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Mazda 3,2013,42,Electric,Automatic,Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Mazda+3
Volkswagen Jetta,2023,76,Hybrid,Automatic,Not Available,Atlanta,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Honda Civic,2017,50,Diesel,Automatic,Not Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Honda+Civic
Ford Mustang,2010,34,Electric,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Ford+Mustang
Ford Mustang,2015,49,Diesel,Manual,Not Available,Atlanta,https://via.placeholder.com/300x200.png?text=Ford+Mustang
Chevrolet Camaro,2019,165,Electric,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Tesla Model 3,2019,55,Diesel,Manual,Not Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Chevrolet Malibu,2014,68,Hybrid,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Toyota Corolla,2012,159,Diesel,Manual,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Nissan Altima,2014,176,Hybrid,Automatic,Available,New York,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Mazda 3,2014,50,Diesel,Automatic,Available,New York,https://via.placeholder.com/300x200.png?text=Mazda+3
Ford Mustang,2022,71,Electric,Manual,Available,Atlanta,https://via.placeholder.com/300x200.png?text=Ford+Mustang
Volkswagen Jetta,2016,127,Hybrid,Automatic,Available,Seattle,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Chevrolet Camaro,2011,186,Diesel,Manual,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Porsche 911,2022,92,Electric,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Porsche+911
Audi A4,2011,64,Diesel,Automatic,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Audi+A4
Chevrolet Camaro,2019,158,Electric,Automatic,Available,New York,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Ford Focus,2021,48,Petrol,Automatic,Available,Houston,https://via.placeholder.com/300x200.png?text=Ford+Focus
Kia Optima,2019,30,Hybrid,Manual,Available,Boston,https://via.placeholder.com/300x200.png?text=Kia+Optima
Porsche 911,2010,187,Petrol,Automatic,Available,Miami,https://via.placeholder.com/300x200.png?text=Porsche+911
Volkswagen Jetta,2013,108,Electric,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Nissan Altima,2015,111,Petrol,Manual,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Mazda 3,2010,172,Hybrid,Manual,Not Available,New York,https://via.placeholder.com/300x200.png?text=Mazda+3
Porsche 911,2022,135,Electric,Automatic,Not Available,Atlanta,https://via.placeholder.com/300x200.png?text=Porsche+911
Jeep Wrangler,2015,192,Hybrid,Manual,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
Chevrolet Camaro,2021,136,Hybrid,Manual,Available,Seattle,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Honda Civic,2023,46,Hybrid,Manual,Not Available,Atlanta,https://via.placeholder.com/300x200.png?text=Honda+Civic
BMW 3 Series,2011,196,Petrol,Automatic,Available,Miami,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Nissan Altima,2022,99,Petrol,Automatic,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Porsche 911,2014,172,Hybrid,Automatic,Not Available,Chicago,https://via.placeholder.com/300x200.png?text=Porsche+911
Jeep Wrangler,2015,176,Petrol,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
Lexus ES,2018,52,Electric,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Lexus+ES
Tesla Model 3,2015,188,Electric,Automatic,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Chevrolet Malibu,2019,170,Diesel,Automatic,Available,Chicago,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Chevrolet Camaro,2019,85,Electric,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Nissan Altima,2017,127,Petrol,Automatic,Available,New York,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Nissan Altima,2014,184,Diesel,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Nissan+Altima
Jeep Wrangler,2012,138,Electric,Automatic,Available,Houston,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
Dodge Charger,2011,144,Diesel,Manual,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Chevrolet Camaro,2011,108,Petrol,Manual,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Mazda 3,2012,119,Petrol,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Mazda+3
Ford Focus,2010,199,Electric,Manual,Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Ford+Focus
Tesla Model 3,2020,96,Diesel,Manual,Available,Boston,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Lexus ES,2020,159,Hybrid,Manual,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Lexus+ES
Chevrolet Camaro,2023,107,Diesel,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Subaru Impreza,2016,163,Hybrid,Automatic,Not Available,Miami,https://via.placeholder.com/300x200.png?text=Subaru+Impreza
Ford Mustang,2019,36,Petrol,Automatic,Available,Houston,https://via.placeholder.com/300x200.png?text=Ford+Mustang
Mercedes-Benz C-Class,2019,83,Petrol,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
Honda Civic,2013,188,Diesel,Manual,Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Honda+Civic
Kia Optima,2020,179,Electric,Manual,Not Available,New York,https://via.placeholder.com/300x200.png?text=Kia+Optima
Toyota Corolla,2014,121,Petrol,Automatic,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Jeep Wrangler,2021,91,Electric,Automatic,Available,Seattle,https://via.placeholder.com/300x200.png?text=Jeep+Wrangler
